numasuite_sku,current_shopify_sku,proposed_sku,match_method,confidence,numasuite_title,shopify_title,numasuite_ean,shopify_barcode,needs_review,review_reason
TG11000080,OM-MAX-53-THX,TG11000080,tfidf+rapidfuzz,54.65,DECK WASH NOZZLE,Oleo-Mac MAX 53-THX AllRoad ALU Self-Propelled Petrol Lawnmower with Aluminium Deck (Honda Engine),,8026619064037,yes,no NumaSuite EAN; title score 54.6 < 85.0
TG11000084,STIG-PIVOT-WHEELS-130H-SWEEPER,TG11000084,tfidf+rapidfuzz,72.47,FRONT WHEEL 6INCH TG40,Stiga Titan Front Wheel Kit for RB130H Sweeper (13-7924-11),,,yes,no NumaSuite EAN; title score 72.5 < 85.0
TG11000085,STIG-PIVOT-WHEELS-130H-SWEEPER,TG11000085,tfidf+rapidfuzz,64.51,"FRONT WHEEL 7INCH TG46, TG46SE",Stiga Titan Front Wheel Kit for RB130H Sweeper (13-7924-11),,,yes,no NumaSuite EAN; title score 64.5 < 85.0
TG11000086,STIG-PIVOT-WHEELS-130H-SWEEPER,TG11000086,tfidf+rapidfuzz,66.31,"FRONT WHEEL 8INCH TG51, TG56",Stiga Titan Front Wheel Kit for RB130H Sweeper (13-7924-11),,,yes,no NumaSuite EAN; title score 66.3 < 85.0
TG11000088,FRTF220-1,TG11000088,tfidf+rapidfuzz,69.6,REAR WHEEL 8INCH TG40,Feider RTF220 Pro Two-Wheel Rear-Tine Rotary Cultivator,,3661602025906,yes,no NumaSuite EAN; title score 69.6 < 85.0
TG11000089,BERT-BT401S-2,TG11000089,tfidf+rapidfuzz,56.82,"REAR WHEEL 10INCH TG46, TG46SE, TG51, TG56",Bertolini BT401S Two-Wheel Rear-Tine Rotary Cultivator (Honda Engine),,8026619077273,yes,no NumaSuite EAN; title score 56.8 < 85.0
TG11000090,JR-AFC0014,TG11000090,tfidf+rapidfuzz,61.65,WHEEL CAPS TG40,Chainsaw Chain Grinding Wheel Stone 100mm x 22mm x 3.2mm - JR-AFC0014,,3760011420163,yes,no NumaSuite EAN; title score 61.6 < 85.0
TG11000118,ST-BG-56-CE,TG11000118,tfidf+rapidfuzz,56.18,HANDRAIL PANEL TG46SE/51/56,STIHL BG 56-CE Handheld Petrol Leaf-Blower,,0886661268665,yes,no NumaSuite EAN; title score 56.2 < 85.0
TG11000127,STIG-278131808/St1,TG11000127,tfidf+rapidfuzz,60.57,"CHARGER TG46SE, TG51, TG56",Stiga Fast Charger | Fits E-Ride Models,,,yes,no NumaSuite EAN; title score 60.6 < 85.0
TG11000148,OLY-64-396,TG11000148,tfidf+rapidfuzz,64.01,FRONT HANDLE TG56,Big Mutt Pro Multi-Purpose Scraper with Wooden Handle | 64-396,,0025997643962,yes,no NumaSuite EAN; title score 64.0 < 85.0
TG11000148(G),JR-LAN0004,TG11000148(G),tfidf+rapidfuzz,70.74,FRONT HANDLE (GREY) TG56,RECOIL HANDLE,,3760011422327,yes,no NumaSuite EAN; title score 70.7 < 85.0
TG11000148(R),JR-LAN0004,TG11000148(R),tfidf+rapidfuzz,70.74,FRONT HANDLE (RED) TG56,RECOIL HANDLE,,3760011422327,yes,no NumaSuite EAN; title score 70.7 < 85.0
TG11000171,TG46SE-AMZ,TG11000171,tfidf+rapidfuzz,35.06,"GRASSBOX FLAP TG46, 46SE, 51",Spectrum TG46SE 3-in-1 Self-Propelled Petrol Lawnmower with Electric Start (Amazon),,5065022450139,yes,no NumaSuite EAN; title score 35.1 < 85.0
TG11000174,LA-LFS687Q,TG11000174,tfidf+rapidfuzz,53.26,SIDE EJECT FLAP TG46/51,Cuba 2-Burner Gas BBQ c/w Side Shelves,,,yes,no NumaSuite EAN; title score 53.3 < 85.0
TG11000176,AP-946162350,TG11000176,tfidf+rapidfuzz,56.01,"FRONT PANEL TG46, TG46SE, TG51",Apache Euro 5 Petrol Front-Tine Cultivator,,0000000000000,yes,no NumaSuite EAN; title score 56.0 < 85.0
TG11000177,OY-64-961,TG11000177,tfidf+rapidfuzz,58.37,NYLON BEARING SET TG40/46/51,Roughneck 'Gorilla' 5-Piece Wrecking-Bar Set | 64-961,,0293297578075,yes,no NumaSuite EAN; title score 58.4 < 85.0
TG11000178,BCH004,TG11000178,tfidf+rapidfuzz,57.46,"BELT COVER TG46, TG46SE",Protective Cover for Generators - JR BCH004,,3760011424543,yes,no NumaSuite EAN; title score 57.5 < 85.0
TG11000181,AP-985000000,TG11000181,tfidf+rapidfuzz,59.77,"INNER REAR WHEEL BACKING TG46, TG46SE, TG51",Apache RTT3 Two-Wheel Rear-Tine Rotary Cultivator (Briggs & Stratton Engine),,8025004012967,yes,no NumaSuite EAN; title score 59.8 < 85.0
TG11000184,JR-LAN0004,TG11000184,tfidf+rapidfuzz,70.54,HEIGHT ADJUSTMENT HANDLE,RECOIL HANDLE,,3760011422327,yes,no NumaSuite EAN; title score 70.5 < 85.0
TG11000185,AP-907970000,TG11000185,tfidf+rapidfuzz,67.42,REAR WHEEL BACKING TG40,Apache Rear-Mounted Tiller/Cultivator Attachment – for P70 Two-Wheel Tractor,,0000000000000,yes,no NumaSuite EAN; title score 67.4 < 85.0
TG11000197,MF-327107506/0,TG11000197,tfidf+rapidfuzz,87.78,SIDE DISCHARGE CHUTE TG56,Mountfield Side-Discharge Chute - for MTF 66 MQ | 327107506/0,,7313323035066,yes,no NumaSuite EAN
TG11000198,DAN-71901-924,TG11000198,tfidf+rapidfuzz,83.07,SIDE DISCHARGE DEFLECTOR FLAP TG56,Danarm Side-Discharge Deflector – for 53cm 4-Wheeled & Roller Lawnmowers | 71901-924,,0000000000000,yes,no NumaSuite EAN; title score 83.1 < 85.0
TG11000199,TG561-SWT,TG11000199,tfidf+rapidfuzz,38.02,BELT GUARD TG56,Spectrum TG561-SWT Self Propelled Wheeled Trimmer,,5065022450511,yes,no NumaSuite EAN; title score 38.0 < 85.0
TG11000201,MTD-T205,TG11000201,tfidf+rapidfuzz,61.29,FRONT PANEL TG56,MTD T205 Petrol Front-Tine Tiller,,4008423823998,yes,no NumaSuite EAN; title score 61.3 < 85.0
TG12000030,STIG-299900150/0,TG12000030,tfidf+rapidfuzz,58.75,REAR AXLE TG46,Stiga Rear Counterweight for 92cm Rear-Collect Tractors | 299900150/0,,7313321306946,yes,no NumaSuite EAN; title score 58.7 < 85.0
TG12000033,STIG-299900150/0,TG12000033,tfidf+rapidfuzz,58.75,REAR AXLE TG40,Stiga Rear Counterweight for 92cm Rear-Collect Tractors | 299900150/0,,7313321306946,yes,no NumaSuite EAN; title score 58.7 < 85.0
TG12000141,JR-SLT0001,TG12000141,tfidf+rapidfuzz,55.89,"BLADE BOSS TG40, TG46, TG46SE, TG51SE",ADAPTABLE BLADE HUB 22465607/0 1224656073 NG464TR TRE NG 484,,,yes,no NumaSuite EAN; title score 55.9 < 85.0
TG12000150,JR-LTD0015,TG12000150,tfidf+rapidfuzz,70.93,BLADE TG40S,BLADE TORO 55CM 108-9783-03 20655 20658 20954 20955 20956 58,,3760011422549,yes,no NumaSuite EAN; title score 70.9 < 85.0
TG12000152,19158015,TG12000152,tfidf+rapidfuzz,58.92,"BLADE TG46, TG46SE",Blade - Fits Feider FTDT5175ES Lawnmower | MowDirect,,,yes,no NumaSuite EAN; title score 58.9 < 85.0
TG12000153,JR-LTD0015,TG12000153,tfidf+rapidfuzz,68.31,BLADE TG51SE,BLADE TORO 55CM 108-9783-03 20655 20658 20954 20955 20956 58,,3760011422549,yes,no NumaSuite EAN; title score 68.3 < 85.0
TG12000161,STIG-278420008/ST2,TG12000161,tfidf+rapidfuzz,70.07,LOWER HANDLE BAR TG46,Stiga SPR 500 AE 48v Cordless Top-Handle Arborist’s Chainsaw - 30cm Guide Bar (Tool Only),,8008984844421,yes,no NumaSuite EAN; title score 70.1 < 85.0
TG12000163,JR-LAN0004,TG12000163,tfidf+rapidfuzz,69.94,UPPER HANDLE TG46/51,RECOIL HANDLE,,3760011422327,yes,no NumaSuite EAN; title score 69.9 < 85.0
TG12000170,JR-SLT0001,TG12000170,tfidf+rapidfuzz,57.05,"BLADE WASHER TG40, TG465, TG46SE, TG51, TG56",ADAPTABLE BLADE HUB 22465607/0 1224656073 NG464TR TRE NG 484,,,yes,no NumaSuite EAN; title score 57.0 < 85.0
TG12000196,OLY-64-585,TG12000196,tfidf+rapidfuzz,53.68,UPPER BAR TG46,Roughneck Bent-Tip Digger Bar | 64-585,,0025997645850,yes,no NumaSuite EAN; title score 53.7 < 85.0
TG12000200,SBS480CBV,TG12000200,tfidf+rapidfuzz,44.56,LOWER ARM BARS TG40,Spectrum SBS480CBV 40V Cordless Leaf Blower Vacuum — Bare Tool (Battery & Charger Sold Separately),,5065022450641,yes,no NumaSuite EAN; title score 44.6 < 85.0
TG12000201,FD-FT200,TG12000201,tfidf+rapidfuzz,58.36,LOWER BAR TG46,Feider FT200 Scythe-Bar Mower,,3661602025913,yes,no NumaSuite EAN; title score 58.4 < 85.0
TG12000257,TFN042,TG12000257,tfidf+rapidfuzz,66.74,"QUAD TIPPED BLADE 18"" TG46""",Universal Pro Combi Quad Line-Head with Blade for 30-40cc Brushcutters - JR TFN042,,3760011423164,yes,no NumaSuite EAN; title score 66.7 < 85.0
TG12000258,TFN042,TG12000258,tfidf+rapidfuzz,66.74,"QUAD TIPPED BLADE 20"" TG51""",Universal Pro Combi Quad Line-Head with Blade for 30-40cc Brushcutters - JR TFN042,,3760011423164,yes,no NumaSuite EAN; title score 66.7 < 85.0
TG12000280,STIG-13-0921-62,TG12000280,tfidf+rapidfuzz,62.16,"FRONT AXLE TG46, TG46SE, TG51",Stiga 2 x 13.5kg Axle Frame Weights for Select Park Front-Cut Ride-On Mowers | 13-0921-62,,7313321305420,yes,no NumaSuite EAN; title score 62.2 < 85.0
TG12000287,SBS560CHT-KIT,TG12000287,tfidf+rapidfuzz,36.57,HEIGHT BRACKET LEFT TG40,Spectrum SBS560CHT 40V Cordless Hedge Trimmer — Complete Kit (2.0Ah Battery + Charger),,5061122340165,yes,no NumaSuite EAN; title score 36.6 < 85.0
TG12000288,STIG-2F5820421/ST2,TG12000288,tfidf+rapidfuzz,54.91,DECK HEIGHT PLATE TG40,Stiga Park 300 Front-Cut Ride-On Lawnmower (Excluding Deck),,8008984852235,yes,no NumaSuite EAN; title score 54.9 < 85.0
TG12000289,JR-LAN0004,TG12000289,tfidf+rapidfuzz,70.47,HEIGHT HANDLE LEVER TG46/51/56,RECOIL HANDLE,,3760011422327,yes,no NumaSuite EAN; title score 70.5 < 85.0
TG12000292,STIG-13-0921-62,TG12000292,tfidf+rapidfuzz,78.98,FRONT AXLE TG40,Stiga 2 x 13.5kg Axle Frame Weights for Select Park Front-Cut Ride-On Mowers | 13-0921-62,,7313321305420,yes,no NumaSuite EAN; title score 79.0 < 85.0
TG12000325,TG56-PRO,TG12000325,tfidf+rapidfuzz,92.32,BLADE TG56,"Spectrum TG56-Pro Variable Speed, Honda Engine, Petrol Lawnmower - 4 Blade",,,yes,no NumaSuite EAN
TG12000326,STIG-13-0921-62,TG12000326,tfidf+rapidfuzz,78.98,FRONT AXLE TG56,Stiga 2 x 13.5kg Axle Frame Weights for Select Park Front-Cut Ride-On Mowers | 13-0921-62,,7313321305420,yes,no NumaSuite EAN; title score 79.0 < 85.0
TG12000329,TG56-PRO,TG12000329,tfidf+rapidfuzz,67.72,BLADE BOSS & WASHER TG56,"Spectrum TG56-Pro Variable Speed, Honda Engine, Petrol Lawnmower - 4 Blade",,,yes,no NumaSuite EAN; title score 67.7 < 85.0
TG12000405,TG56-PRO,TG12000405,tfidf+rapidfuzz,59.51,BLADE TG56 - INCORRECT BLADE - DO NOT USE,"Spectrum TG56-Pro Variable Speed, Honda Engine, Petrol Lawnmower - 4 Blade",,,yes,no NumaSuite EAN; title score 59.5 < 85.0
TG13000080,STIG-13-0939-61,TG13000080,tfidf+rapidfuzz,67.61,TG46SE FRAME,Stiga 2 x 17kg Axle Frame Weights for Select Park Front-Cut Ride-On Mowers | 13-0939-61,,,yes,no NumaSuite EAN; title score 67.6 < 85.0
TG13000082,FD-X-RANGE,TG13000082,tfidf+rapidfuzz,66.78,FRAME TG51SE,Feider X-RANGER 250w Aluminium-Frame Electric Bicycle,,3032651935629,yes,no NumaSuite EAN; title score 66.8 < 85.0
TG13000087,FG8500ES,TG13000087,tfidf+rapidfuzz,72.65,FRAME TG40,Feider 8500w Three-Phase Open-Frame Petrol Generator with Electric Start | FG8500ES,,3661602049230,yes,no NumaSuite EAN; title score 72.6 < 85.0
TG14000017,TG46SE-AMZ,TG14000017,tfidf+rapidfuzz,53.03,"THROTTLE CABLE TG46, TG46SE",Spectrum TG46SE 3-in-1 Self-Propelled Petrol Lawnmower with Electric Start (Amazon),,5065022450139,yes,no NumaSuite EAN; title score 53.0 < 85.0
TG14000018,R210,TG14000018,tfidf+rapidfuzz,41.32,THROTTLE CABLE TG51,Rato Horizontal Engine,,,yes,no NumaSuite EAN; title score 41.3 < 85.0
TG14000019,R210,TG14000019,tfidf+rapidfuzz,41.32,THROTTLE CABLE TG40,Rato Horizontal Engine,,,yes,no NumaSuite EAN; title score 41.3 < 85.0
TG14000023,R210,TG14000023,tfidf+rapidfuzz,41.32,THROTTLE CABLE TG56,Rato Horizontal Engine,,,yes,no NumaSuite EAN; title score 41.3 < 85.0
TG14000073,STIG-294568038/ST2,TG14000073,tfidf+rapidfuzz,72.01,ENGINE BRAKE CABLE TG51,Stiga Twinclip 955 B Self-Propelled Petrol Lawnmower with Blade-Brake Clutch & Honda Engine,,8008984852723,yes,no NumaSuite EAN; title score 72.0 < 85.0
TG14000075,TG45SC,TG14000075,tfidf+rapidfuzz,37.08,OPC CABLE TG46/46SE,"Spectrum TG45SC Petrol Scarifier & Aerator — 223cc, 45cm, 2-in-1",,5061122340127,yes,no NumaSuite EAN; title score 37.1 < 85.0
TG14000077,TG45SC,TG14000077,tfidf+rapidfuzz,36.57,OPC CABLE TG40,"Spectrum TG45SC Petrol Scarifier & Aerator — 223cc, 45cm, 2-in-1",,5061122340127,yes,no NumaSuite EAN; title score 36.6 < 85.0
TG14000086,STIG-294568038/ST2,TG14000086,tfidf+rapidfuzz,72.01,ENGINE BRAKE CABLE TG56,Stiga Twinclip 955 B Self-Propelled Petrol Lawnmower with Blade-Brake Clutch & Honda Engine,,8008984852723,yes,no NumaSuite EAN; title score 72.0 < 85.0
TG14100043,2T2010483/M25,TG14100043,tfidf+rapidfuzz,53.73,"DRIVE CABLE TG46, TG46SE",Mountfield T30M Gear Drive 2-in-1 Lawn Tractor,,8008984869042,yes,no NumaSuite EAN; title score 53.7 < 85.0
TG14100045,TG40PD,TG14100045,tfidf+rapidfuzz,70.24,SELF PROPELLED DRIVE CABLE TG40,Spectrum TG40PD Self-Propelled Petrol Lawnmower,,5065022450108,yes,no NumaSuite EAN; title score 70.2 < 85.0
TG16000015,R210,TG16000015,tfidf+rapidfuzz,38.63,CONNECTING HEIGHT SPRING,Rato Horizontal Engine,,,yes,no NumaSuite EAN; title score 38.6 < 85.0
